Dates,Lessons
Sep 11 2018,"Welcome to the ND, Stock Prices, Market Mechanics, Data Processing , Stock Returns, Momentum Trading"
Sep 12 2018-Sep 18 2018,Project: Trading w/ Momentum
Sep 19 2018,"Quant Workflow, Outliers & Filtering, Regression, Time Series Modelling, Volatility, Pairs Trading & Mean Reversion"
Sep 20 2018-Sep 26 2018,Project: Breakout Strategy
Sep 27 2018,"Stocks, Indices, Funds, ETFs, Portfolio Risk & Return, Portfolio Optimizations"
Sep 28 2018-Oct 04 2018,Project: Smart Beta & PO
Oct 05 2018,"Factors, Factor Models, Risk Factor Models, Risk Factor Models w/ PCA, Alpha Factors"
Oct 06 2018,"Alpha Factors, Alpha Factors w/ Case Studies, Advanced PO"
Oct 07 2018-Oct 13 2018,Project: Multi Factor Model
