Dates,Lessons
Sep 11 2018,Welcome to the ND
Sep 12 2018,Life of a DA
Sep 13 2018-Sep 19 2018,Project: Weather Trends
Sep 20 2018,Anaconda
Sep 21 2018,Jupyter Notebook
Sep 22 2018-Sep 25 2018,Data Analysis Process
Sep 26 2018-Sep 30 2018,DA Process : Case 1
Oct 01 2018-Oct 05 2018,DA Process : Case 2
Oct 06 2018,Programming Workflow for DA
Oct 07 2018-Oct 13 2018,Project: Investigate a dataset
Oct 14 2018,Descriptive stats - I
Oct 15 2018,Descriptive stats - II
Oct 16 2018-Oct 17 2018,Admissions case study
Oct 18 2018,"Probability, Binomial Distribution, Conditional Probability"
Oct 19 2018,Conditional Probability
Oct 20 2018,Bayes Rule
Oct 21 2018-Oct 24 2018,Python Probability Practice
Oct 25 2018,Normal dist. theory
Oct 26 2018-Oct 27 2018,Sampling dist. & Central thm
Oct 28 2018-Oct 29 2018,Confidence Intervals
Oct 30 2018-Nov 01 2018,Hypothesis Testing
Nov 02 2018-Nov 05 2018,Case Study: A/B tests
Nov 06 2018-Nov 09 2018,Regression
Nov 10 2018-Nov 13 2018,Multiple Linear Regression
Nov 14 2018,Logistic Regression
Nov 15 2018-Nov 21 2018,Project: Analyze A/B results
Nov 22 2018-Nov 24 2018,Intro to Data Wrangling
Nov 25 2018-Nov 27 2018,Gathering Data
Nov 28 2018-Nov 29 2018,Assessing Data
Nov 30 2018-Dec 02 2018,Cleaning Data
Dec 03 2018-Dec 09 2018,Project: Wrangle & Analyze
Dec 10 2018,"Data viz in DA, Designs of Visualizations"
Dec 11 2018,Univariate Exp of data
Dec 12 2018,Bivariate Exp of data
Dec 13 2018,Multivariate Exp of data
Dec 14 2018,Explanatory Visualizations
Dec 15 2018,Visualization Case Study
Dec 16 2018-Dec 22 2018,Project: Communicate Data Findings
