Dates,Lessons
Sep 11 2018,"Welcome to the ND, Stock Prices, Market Mechanics"
Sep 12 2018,"Market Mechanics, Data Processing , Stock Returns"
Sep 13 2018,"Stock Returns, Momentum Trading"
Sep 14 2018-Sep 20 2018,Project: Trading w/ Momentum
Sep 21 2018,"Quant Workflow, Outliers & Filtering, Regression"
Sep 22 2018,"Regression, Time Series Modelling"
Sep 23 2018,"Time Series Modelling, Volatility"
Sep 24 2018,"Volatility, Pairs Trading & Mean Reversion"
Sep 25 2018-Oct 01 2018,Project: Breakout Strategy
Oct 02 2018,"Stocks, Indices, Funds"
Oct 03 2018-Oct 04 2018,ETFs
Oct 05 2018,"Portfolio Risk & Return, Portfolio Optimizations"
Oct 06 2018-Oct 12 2018,Project: Smart Beta & PO
Oct 13 2018,Factors
Oct 14 2018,Factor Models
Oct 15 2018,Risk Factor Models
Oct 16 2018,Risk Factor Models w/ PCA
Oct 17 2018,Alpha Factors
Oct 18 2018,Alpha Factors w/ Case Studies
Oct 19 2018,Advanced PO
Oct 20 2018-Oct 26 2018,Project: Multi Factor Model
